"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-121.2 -121.1 34.8 34.9 0 30 3.05 3.15 0.00607203697035353 1
-121.2 -121.1 34.9 35 0 30 3.05 3.15 0.00820010183677441 1
-121.2 -121.1 35 35.1 0 30 3.05 3.15 0.0101525157760059 1
-121.2 -121.1 35.1 35.2 0 30 3.05 3.15 0.00720428209143431 1
-121.2 -121.1 35.2 35.3 0 30 3.05 3.15 0.00687239820114168 1
-121.2 -121.1 35.3 35.4 0 30 3.05 3.15 0.00816108046734444 1
-121.2 -121.1 35.4 35.5 0 30 3.05 3.15 0.00864905226889252 1
-121.2 -121.1 35.5 35.6 0 30 3.05 3.15 0.0117145013309211 1
-121.2 -121.1 35.6 35.7 0 30 3.05 3.15 0.0131786743516713 1
-121.2 -121.1 35.7 35.8 0 30 3.05 3.15 0.0146233833421466 1
-121.2 -121.1 35.8 35.9 0 30 3.05 3.15 0.0136277537275290 1
-121.2 -121.1 35.9 36 0 30 3.05 3.15 0.0127882639006148 1
-121.2 -121.1 36 36.1 0 30 3.05 3.15 0.0140767243995810 1
-121.2 -121.1 36.1 36.2 0 30 3.05 3.15 0.0172982392846135 1
-121.2 -121.1 36.2 36.3 0 30 3.05 3.15 0.0188797576342823 1
-121.2 -121.1 36.3 36.4 0 30 3.05 3.15 0.0218674507914278 1
-121.2 -121.1 36.4 36.5 0 30 3.05 3.15 0.0267479596563295 1
-121.2 -121.1 36.5 36.6 0 30 3.05 3.15 0.0294807040602773 1
-121.2 -121.1 36.6 36.7 0 30 3.05 3.15 0.0212802700265917 1
-121.2 -121.1 36.7 36.8 0 30 3.05 3.15 0.0176302059349723 1
-121.2 -121.1 36.8 36.9 0 30 3.05 3.15 0.0163415109462103 1
-121.2 -121.1 36.9 37 0 30 3.05 3.15 0.0142330824608640 1
-121.2 -121.1 37 37.1 0 30 3.05 3.15 0.0135692308920824 1
-121.1 -121 34.3 34.4 0 30 3.05 3.15 0.00314331357805347 1
-121.1 -121 34.4 34.5 0 30 3.05 3.15 0.00181572217573569 1
-121.1 -121 34.5 34.6 0 30 3.05 3.15 0.00164782638023701 1
-121.1 -121 34.6 34.7 0 30 3.05 3.15 0.00214756444385512 1
-121.1 -121 34.7 34.8 0 30 3.05 3.15 0.00312385740657621 1
-121.1 -121 34.8 34.9 0 30 3.05 3.15 0.00509569197343497 1
-121.1 -121 34.9 35 0 30 3.05 3.15 0.00853199851746968 1
-121.1 -121 35 35.1 0 30 3.05 3.15 0.00589624676020768 1
-121.1 -121 35.1 35.2 0 30 3.05 3.15 0.00671621821763029 1
-121.1 -121 35.2 35.3 0 30 3.05 3.15 0.0075167914417996 1
-121.1 -121 35.3 35.4 0 30 3.05 3.15 0.00652110875271984 1
-121.1 -121 35.4 35.5 0 30 3.05 3.15 0.00667729371141049 1
-121.1 -121 35.5 35.6 0 30 3.05 3.15 0.00993766165809583 1
-121.1 -121 35.6 35.7 0 30 3.05 3.15 0.0138229743281262 1
-121.1 -121 35.7 35.8 0 30 3.05 3.15 0.0160684198229694 1
-121.1 -121 35.8 35.9 0 30 3.05 3.15 0.0168687172981039 1
-121.1 -121 35.9 36 0 30 3.05 3.15 0.0173373047362277 1
-121.1 -121 36 36.1 0 30 3.05 3.15 0.0192507636248378 1
-121.1 -121 36.1 36.2 0 30 3.05 3.15 0.0220612940340548 1
-121.1 -121 36.2 36.3 0 30 3.05 3.15 0.0238199875254745 1
-121.1 -121 36.3 36.4 0 30 3.05 3.15 0.0261615785550344 1
-121.1 -121 36.4 36.5 0 30 3.05 3.15 0.0310431130680331 1
-121.1 -121 36.5 36.6 0 30 3.05 3.15 0.0337761560489252 1
-121.1 -121 36.6 36.7 0 30 3.05 3.15 0.0261620693051723 1
-121.1 -121 36.7 36.8 0 30 3.05 3.15 0.0201107828984637 1
-121.1 -121 36.8 36.9 0 30 3.05 3.15 0.0172982409448452 1
-121.1 -121 36.9 37 0 30 3.05 3.15 0.0166343387748501 1
-121.1 -121 37 37.1 0 30 3.05 3.15 0.0139010004050998 1
-121 -120.9 34.1 34.2 0 30 3.05 3.15 0.00380719584788307 1
-121 -120.9 34.2 34.3 0 30 3.05 3.15 0.00296775640872396 1
-121 -120.9 34.3 34.4 0 30 3.05 3.15 0.0023039372955408 1
-121 -120.9 34.4 34.5 0 30 3.05 3.15 0.00214761341407023 1
-121 -120.9 34.5 34.6 0 30 3.05 3.15 0.00214758774887443 1
-121 -120.9 34.6 34.7 0 30 3.05 3.15 0.00263572106117816 1
-121 -120.9 34.7 34.8 0 30 3.05 3.15 0.0039438169925151 1
-121 -120.9 34.8 34.9 0 30 3.05 3.15 0.00574016577835102 1
-121 -120.9 34.9 35 0 30 3.05 3.15 0.00343630089373135 1
-121 -120.9 35 35.1 0 30 3.05 3.15 0.00523251653009127 1
-121 -120.9 35.1 35.2 0 30 3.05 3.15 0.00751687104577092 1
-121 -120.9 35.2 35.3 0 30 3.05 3.15 0.00669672221714036 1
-121 -120.9 35.3 35.4 0 30 3.05 3.15 0.00523232055711829 1
-121 -120.9 35.4 35.5 0 30 3.05 3.15 0.00505673742915669 1
-121 -120.9 35.5 35.6 0 30 3.05 3.15 0.00862964822703468 1
-121 -120.9 35.6 35.7 0 30 3.05 3.15 0.0138229743281262 1
-121 -120.9 35.7 35.8 0 30 3.05 3.15 0.0189970012422965 1
-121 -120.9 35.8 35.9 0 30 3.05 3.15 0.0214757603348557 1
-121 -120.9 35.9 36 0 30 3.05 3.15 0.0255765940064144 1
-121 -120.9 36 36.1 0 30 3.05 3.15 0.0312384024717191 1
-121 -120.9 36.1 36.2 0 30 3.05 3.15 0.0363150226652929 1
-121 -120.9 36.2 36.3 0 30 3.05 3.15 0.0363146115621490 1
-121 -120.9 36.3 36.4 0 30 3.05 3.15 0.0343622422246825 1
-121 -120.9 36.4 36.5 0 30 3.05 3.15 0.0380709002107667 1
-121 -120.9 36.5 36.6 0 30 3.05 3.15 0.0390481380951645 1
-121 -120.9 36.6 36.7 0 30 3.05 3.15 0.0310424839174540 1
-121 -120.9 36.7 36.8 0 30 3.05 3.15 0.0240149385397507 1
-121 -120.9 36.8 36.9 0 30 3.05 3.15 0.0184112292640019 1
-121 -120.9 36.9 37 0 30 3.05 3.15 0.0163026200836749 1
-121 -120.9 37 37.1 0 30 3.05 3.15 0.0142135135491771 1
-120.9 -120.8 33.9 34 0 30 3.05 3.15 0.00515424132460144 1
-120.9 -120.8 34 34.1 0 30 3.05 3.15 0.00464669080221041 1
-120.9 -120.8 34.1 34.2 0 30 3.05 3.15 0.00398281566586123 1
-120.9 -120.8 34.2 34.3 0 30 3.05 3.15 0.00329968760955161 1
-120.9 -120.8 34.3 34.4 0 30 3.05 3.15 0.00247954679360721 1
-120.9 -120.8 34.4 34.5 0 30 3.05 3.15 0.00197201997060945 1
-120.9 -120.8 34.5 34.6 0 30 3.05 3.15 0.00263574552560176 1
