"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-124.8 -124.7 42.5 42.6 0 30 3.05 3.15 0.00139205310094691 1
-124.8 -124.7 42.6 42.7 0 30 3.05 3.15 0.00128404898180844 1
-124.8 -124.7 42.7 42.8 0 30 3.05 3.15 0.00108004119895976 1
-124.8 -124.7 42.8 42.9 0 30 3.05 3.15 0.000762029068547078 1
-124.8 -124.7 42.9 43 0 30 3.05 3.15 0.000435616689288999 1
-124.7 -124.6 39 39.1 0 30 3.05 3.15 4.09215681877422e-05 1
-124.7 -124.6 39.1 39.2 0 30 3.05 3.15 4.16415956632561e-05 1
-124.7 -124.6 39.2 39.3 0 30 3.05 3.15 4.29616460017185e-05 1
-124.7 -124.6 39.3 39.4 0 30 3.05 3.15 4.6201769556431e-05 1
-124.7 -124.6 39.4 39.5 0 30 3.05 3.15 5.6822174736355e-05 1
-124.7 -124.6 39.5 39.6 0 30 3.05 3.15 7.68029297066659e-05 1
-124.7 -124.6 39.6 39.7 0 30 3.05 3.15 0.000100203822414967 1
-124.7 -124.6 39.7 39.8 0 30 3.05 3.15 0.000147605630577271 1
-124.7 -124.6 39.8 39.9 0 30 3.05 3.15 0.000243609292617547 1
-124.7 -124.6 39.9 40 0 30 3.05 3.15 0.000427216368488755 1
-124.7 -124.6 40 40.1 0 30 3.05 3.15 0.000960036620733069 1
-124.7 -124.6 40.1 40.2 0 30 3.05 3.15 0.00292811241298303 1
-124.7 -124.6 40.2 40.3 0 30 3.05 3.15 0.0352213507258586 1
-124.7 -124.6 40.3 40.4 0 30 3.05 3.15 0.248409475757936 1
-124.7 -124.6 40.4 40.5 0 30 3.05 3.15 0.103203936856909 1
-124.7 -124.6 40.5 40.6 0 30 3.05 3.15 0.0214808194586771 1
-124.7 -124.6 40.6 40.7 0 30 3.05 3.15 0.0247209429974197 1
-124.7 -124.6 40.7 40.8 0 30 3.05 3.15 0.00840032044064011 1
-124.7 -124.6 40.8 40.9 0 30 3.05 3.15 0.00407415613297949 1
-124.7 -124.6 40.9 41 0 30 3.05 3.15 0.00471018039475342 1
-124.7 -124.6 41 41.1 0 30 3.05 3.15 0.0091803501952245 1
-124.7 -124.6 41.1 41.2 0 30 3.05 3.15 0.00561621495391068 1
-124.7 -124.6 41.2 41.3 0 30 3.05 3.15 0.00241209201094496 1
-124.7 -124.6 41.3 41.4 0 30 3.05 3.15 0.00115204394438816 1
-124.7 -124.6 41.4 41.5 0 30 3.05 3.15 0.000816031127953476 1
-124.7 -124.6 41.5 41.6 0 30 3.05 3.15 0.000798030441496528 1
-124.7 -124.6 41.6 41.7 0 30 3.05 3.15 0.000587422479767368 1
-124.7 -124.6 41.7 41.8 0 30 3.05 3.15 0.00039901529277901 1
-124.7 -124.6 41.8 41.9 0 30 3.05 3.15 0.000348013347225673 1
-124.7 -124.6 41.9 42 0 30 3.05 3.15 0.000520219916552875 1
-124.7 -124.6 42 42.1 0 30 3.05 3.15 0.00091803501952245 1
-124.7 -124.6 42.1 42.2 0 30 3.05 3.15 0.00166206340328248 1
-124.7 -124.6 42.2 42.3 0 30 3.05 3.15 0.00168606431556209 1
-124.7 -124.6 42.3 42.4 0 30 3.05 3.15 0.00120604600693771 1
-124.7 -124.6 42.4 42.5 0 30 3.05 3.15 0.00112204280301070 1
-124.7 -124.6 42.5 42.6 0 30 3.05 3.15 0.00103203936856909 1
-124.7 -124.6 42.6 42.7 0 30 3.05 3.15 0.000990037764904249 1
-124.7 -124.6 42.7 42.8 0 30 3.05 3.15 0.000870033188243466 1
-124.7 -124.6 42.8 42.9 0 30 3.05 3.15 0.00065402502029247 1
-124.7 -124.6 42.9 43 0 30 3.05 3.15 0.000389414926159837 1
-124.6 -124.5 38.9 39 0 30 3.05 3.15 4.95018955025591e-05 1
-124.6 -124.5 39 39.1 0 30 3.05 3.15 5.05219344090937e-05 1
-124.6 -124.5 39.1 39.2 0 30 3.05 3.15 5.01619207019612e-05 1
-124.6 -124.5 39.2 39.3 0 30 3.05 3.15 5.04019298145115e-05 1
-124.6 -124.5 39.3 39.4 0 30 3.05 3.15 6.0002296067275e-05 1
-124.6 -124.5 39.4 39.5 0 30 3.05 3.15 7.26027766602067e-05 1
-124.6 -124.5 39.5 39.6 0 30 3.05 3.15 8.8803387507245e-05 1
-124.6 -124.5 39.6 39.7 0 30 3.05 3.15 0.000108604142866661 1
