"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-123.105042869202 40.2441892771749 667.456398284063 1.02305894577876 0.00414015864991614 2
-116.656187204341 32.9837757525966 670.028148446698 2.55539163399953 0.00150605745061544 2
-121.763216224336 41.5545435941312 679.398066773312 3.94531597446185 0.000882033646377469 2
-121.795624912041 39.0685224140761 681.630443546223 2.11558412391460 0.000466217856099705 2
-116.680402523302 31.6747901870403 681.884541968815 0.126925198046956 0.00502219229416417 2
-119.501829545852 36.8879864568589 683.599735342199 4.12589858185966 0.000798030441496528 2
-121.506907379581 39.2719845873071 683.690142890206 2.39285262739286 0.000408015636331493 2
-123.763854689361 42.0534906425746 684.458426802186 3.91000256576808 0.000539420648454486 2
-115.512818896375 35.9181963650044 685.35854784376 1.23184527286794 0.00103803959835339 2
-114.559171242337 32.1936105220811 687.294399982551 4.61494351064321 0.00300611538964013 2
-121.096719019278 38.1356158154085 687.45798785938 0.794451871386263 0.000175806706223758 2
-121.803735705488 39.8259637424489 688.346882145386 0.849708126776386 0.00349813415596704 2
-114.083633667184 34.3192918327404 688.943421095842 4.88659184620483 4.34416643216595e-05 2
-125.203559857886 42.2795091277221 690.726472262293 0.170367527520284 0.00111004234175205 2
-120.664439226827 39.5449353234144 691.252636728575 0.836756906937808 0.00324012431422776 2
-113.305044276710 33.9843396316282 692.40071896161 0.252735774382018 1.45205539043215e-05 2
-115.176518097916 34.4427005415782 692.929563058075 3.55827036177507 5.36420534385018e-05 2
-114.433156891633 33.714332917938 693.383659909014 2.69909559275256 0.000171006523260697 2
-120.638563647238 33.7692550763022 693.454780704807 3.28274495615624 0.000672025706822198 2
-123.740031186375 42.6266550845467 694.428524036892 0.712230184825603 5.18419847631651e-05 2
-119.006702454924 42.6123066783184 694.792026339797 2.69257206197362 1.59006065566627e-05 2
-119.729642813746 36.9255750486627 697.680924749002 2.48837694843533 0.00105604028410902 2
-121.037838946329 39.4767548037926 698.532620803919 3.62148694277275 0.000642024562544508 2
-121.313397368928 40.6119310955983 701.831701450516 1.42937877089717 0.002898111272766 2
-122.567621045653 36.3081049757311 703.353240466444 4.59371213513659 0.00010740409698318 2
-121.336538060638 41.8197041334352 703.356460412731 3.05018600793555 0.00012180464646026 2
-117.434517937736 38.070700522745 708.447633233853 0.37589195149485 0.000471018039475342 2
-119.900440648478 37.5226591051323 709.807993422961 4.62232579055708 0.00159006065566627 2
-122.055249652988 42.7394829845289 717.813195683993 1.30872193062678 3.84614743352043e-05 2
-124.982239369839 42.3831060131779 718.317973341327 3.15372154258657 0.00390614972285192 2
-123.3414343026 37.7780856409809 720.855162268737 4.74272471484728 0.000183607004145448 2
-119.889283793396 40.1309634688077 721.030291381991 0.170006291172467 0.000978037308634283 2
-120.735362884216 42.8335784173105 723.473720690934 1.91391133406432 4.65017810404576e-05 2
-122.981647410337 36.7463990629185 723.6707895929 2.53634706643643 0.000111004234175205 2
-116.370444189641 36.1071774994489 727.750000159955 1.04126052826177 0.000298811470342042 2
-122.448123894562 36.4105963587062 727.818524483591 4.5373263387708 0.000172206569166901 2
-115.592340327823 34.2478220176417 730.040765264072 1.31919536213391 0.000263410048015686 2
-120.911202666233 37.3319327902282 731.704179469729 1.82567433865042 0.000475218200065867 2
-117.903012771369 33.2512593042338 733.165069691371 4.84690234948648 0.00409815704605171 2
-117.188113251538 35.4160591199761 736.441831061617 1.48210647442611 0.00165006294476955 2
-118.866128513427 36.2318330319831 739.645086647011 1.30660657379776 0.000375614400067073 2
-117.166750105214 34.7425811304711 740.160856782226 2.9964795142645 0.000810030899964232 2
-113.832232147409 34.6547313912306 741.453265467193 1.14577822415158 3.58813759189451e-05 2
